date,location_key,inc_case,inc_hosp,inc_death,sni_covid19_vaccination,liberalism,children,adult,elderly,new_persons_vaccinated,stringency_index,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,PC1,PC2,PC3
2021-01,Alabama,112124,1.372356263587691,1.5853985833528093,0.031997450671602,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.1113261734075761,0.498760456968809,-1.143758369312622,-1.227587174462637,-1.0078461786065902,-0.703170435076869,-0.3989070285729639,1.1434855873846548,2.377274808681951,-0.26797446315235646,-0.15595036212153343
2021-02,Alabama,37101,0.1266692009815518,1.19582383258583,0.4728354419163212,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,0.1120970902242709,0.6347110224900572,-1.0284581287666357,-0.8889855158235195,-1.0006821219433435,-0.6618383915932533,0.0091148874524718,0.9270605302066725,1.9549322324999616,-0.5277008097572323,0.0015325686802847164
2021-03,Alabama,21389,-0.262077721342593,-0.1364163209074377,0.7611652014635013,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,0.389475331540058,0.5547401015952058,0.2415395810683928,-0.1812578679559038,-0.5370008679043389,0.2007989662545392,0.4025811336602853,-0.3151513519902749,-0.14785705171756539,-0.6818826551185445,-0.17354644897094829
2021-04,Alabama,11826,-0.3046933313791188,-0.3406228150232044,0.1508848977112951,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,0.2615245955410932,-0.1087807386140559,0.6087261760535377,0.2826002783231733,-0.2435420298018441,0.5976552788998446,0.5072728681387616,-0.8605690510117606,-1.0728977150513057,-0.6445027044482996,-0.26268419582731056
2021-05,Alabama,17507,-0.3104782558184662,-0.3632286999806694,-0.6215158371345679,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.2030402664098334,-0.4389705068190979,0.4952423082058593,0.7942910095763798,-0.1303460705275396,0.702666276271876,0.4077841299649384,-0.8222685606389021,-1.2890487686935745,-0.4048056424205433,-0.36177140731381935
2021-06,Alabama,6529,-0.430997514971537,-0.4423492973317967,-0.9076185391635592,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.1821868999597592,-0.7689224718061305,0.3849563481125193,0.6000249491742178,-0.2655664183372567,0.8314402516601608,0.3121345587365511,-0.4447529565243317,-0.955987371202028,-0.4084195549850559,-0.6018546634561757
2021-07,Alabama,35673,0.0236975459611682,-0.4348140023459751,0.0126310579617915,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.2276502657481402,-0.7689224718061305,0.2567933963508894,0.7862376397607843,-0.2925642448781489,0.934895947877515,-0.2105377963559291,-0.1760278657381626,-0.7579474796314662,0.05479172944186438,-0.953691289531534
2021-08,Alabama,102411,0.7842222789207057,-0.0708592545307894,1.3496005659369077,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,0.0648175681043127,-1.0408236028486266,0.013329288771454,0.7875764119639723,-0.4905391879658188,0.3602009736778936,0.270415739026116,-0.1059120578943794,-0.42208432438339005,-0.31409379574595314,-0.3947641869229044
2021-09,Alabama,99403,0.4062738822166759,0.7730937838812354,-0.1862592737842287,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.2664507881692866,-1.2207485860226075,0.0047249228792718,0.4913618407989524,-0.378229670178816,0.2055371628570803,0.4990135934305662,-0.3656735264461054,-0.4419180479373428,-0.546104372921388,-0.08847430793206866
2021-10,Alabama,44232,-0.2389380235852034,0.5832043502385298,-0.6151087469569048,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.3588387328263155,-0.9347902163671792,0.1755920263703991,0.4365402509609113,-0.3302090594447047,0.4712545249565065,1.1823918777007107,-0.8223742982220742,-0.9985109606442396,-1.1976818672734373,0.06604861493852145
2021-11,Alabama,13298,-0.4034227084773144,-0.1771069138308746,-0.5271906983665291,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.3438806674842976,-0.7447259943737476,0.0165310587661157,0.4266510680577126,-0.6807397026848905,0.5084818444714473,0.3434709973212534,-0.1359483074025073,-0.2807916596853956,-0.5930120336100162,-0.5477954372516783
2021-12,Alabama,23134,-0.3166488418871034,-0.3572004639920121,-0.6580771867880039,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.3468139040991862,-0.0009139660324774,0.1246446745852227,0.656290825401834,-0.7854387149400959,0.3083882786660619,-0.1608583599424124,0.29537999808986,0.0048387269280745415,-0.03790818026969212,-0.7018776017765462
2022-01,Alabama,338223,0.8040838528291319,-0.0821621970095218,-0.2147054675058814,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.2864933705427638,0.9861515766527932,-0.960696325123542,-0.4348163356343051,-1.0057885916515616,-0.2350662091800427,0.5674685819038463,1.0036384370255167,1.4492569244094544,-0.9030285615508775,-0.12774232455994328
2022-02,Alabama,72698,-0.0457215473110005,0.2727501968226778,-1.2734348313174042,-0.816496580927726,-0.2312102218132492,-0.2366443628862653,-0.1983086757188688,-0.4564084886039954,1.2125728422511317,-0.0777040139036122,0.0646707142249707,-0.64143044276389,0.0338179479003114,1.8555557841574808,-0.4691505736086296,-0.4241057073059509,-1.8407842156144585,0.5264721715309598
